Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/economic-losses-from-climate-related

Publisher ,European Environment Agency,EEA

Sources ,https://www.risklayer.com/,RiskLayer GmbH,CATDAT (link not available)

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, France, Slovakia, Czechia, Italy, Slovenia, Croatia, Greece, Estonia, Latvia, Lithuania, Finland, Hungary, Bulgaria, Poland, Romania"

Temporal coverage ,"1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"

30-year moving average,"Climatological (heatwaves, wildfires, droughts, cold spells, frost)",Hydrological (floods),"Meteorological (storms, hail, wind)",Year

3.898,3.548,0.000,1980
4.968,2.452,0.235,1981
5.238,5.338,0.015,1982
0.418,20.486,0.363,1983
0.000,1.060,7.852,1984
2.036,2.126,0.017,1985
3.248,0.620,0.191,1986
1.362,6.512,5.824,1987
0.000,2.492,0.345,1988
2.648,1.112,1.756,1989
14.065,3.094,17.460,1990
1.393,2.097,0.095,1991
4.273,3.408,0.854,1992
0.540,3.699,2.626,1993
0.350,19.740,1.586,1994
1.332,2.695,4.519,1995
1.000,2.951,0.114,1996
1.719,15.996,0.308,1997
1.569,2.433,0.891,1998
5.377,5.656,27.241,1999
3.636,19.698,1.116,2000
0.121,4.420,1.738,2001
0.371,31.936,5.713,2002
23.596,5.685,1.236,2003
1.772,1.329,2.618,2004
7.186,9.920,6.154,2005
2.442,3.977,0.934,2006
1.793,1.567,9.111,2007
0.279,2.126,4.050,2008
13.353,0.409,4.045,6.383,2009
14.069,3.052,18.657,7.222,2010
14.075,0.877,5.346,1.604,2011
13.907,2.511,2.188,0.843,2012
14.018,0.009,14.242,10.341,2013
14.235,0.141,7.750,7.542,2014
14.596,3.986,6.644,4.363,2015
14.862,0.804,9.352,1.902,2016
15.525,19.452,3.474,10.650,2017
16.320,8.227,2.910,15.547,2018
17.055,9.475,9.544,8.568,2019
16.443,1.849,2.029,12.384,2020
18.498,5.934,49.982,9.319,2021
20.138,44.932,3.878,8.904,2022
21.414,8.790,26.452,9.898,2023
22.039,5.430,31.096,3.925,2024

